iter	Passed	Remaining
0	61	30654
1	100	24985
2	137	22782
3	175	21814
4	213	21178
5	253	20866
6	292	20587
7	333	20517
8	388	21186
9	428	20999
10	469	20866
11	507	20645
12	546	20468
13	585	20320
14	624	20191
15	663	20072
16	703	19978
17	741	19864
18	779	19744
19	797	19139
20	835	19055
21	875	19022
22	913	18949
23	958	19002
24	1017	19334
25	1059	19309
26	1100	19281
27	1139	19215
28	1178	19141
29	1216	19061
30	1254	18979
31	1295	18940
32	1334	18889
33	1371	18799
34	1410	18741
35	1448	18675
36	1487	18608
37	1524	18537
38	1563	18486
39	1602	18427
40	1641	18380
41	1678	18306
42	1716	18237
43	1753	18170
44	1790	18106
45	1829	18054
46	1888	18204
47	1951	18373
48	1991	18328
49	2028	18254
50	2071	18241
51	2111	18187
52	2149	18124
53	2185	18054
54	2223	17986
55	2260	17924
56	2298	17860
57	2337	17809
58	2392	17881
59	2429	17816
60	2468	17767
61	2507	17713
62	2544	17650
63	2580	17578
64	2616	17513
65	2654	17458
66	2691	17394
67	2728	17335
68	2765	17271
69	2803	17221
70	2840	17165
71	2877	17106
72	2913	17043
73	2950	16984
74	2985	16916
75	3023	16865
76	3060	16814
77	3103	16792
78	3140	16737
79	3180	16697
80	3218	16647
81	3255	16595
82	3292	16540
83	3331	16498
84	3378	16497
85	3416	16445
86	3452	16390
87	3490	16340
88	3529	16298
89	3565	16243
90	3602	16190
91	3637	16133
92	3675	16083
93	3729	16109
94	3776	16098
95	3813	16048
96	3849	15992
97	3887	15944
98	3922	15889
99	3961	15844
100	4020	15882
101	4081	15926
102	4148	15988
103	4234	16123
104	4297	16165
105	4339	16128
106	4377	16079
107	4433	16090
108	4472	16042
109	4510	15990
110	4546	15932
111	4582	15874
112	4618	15818
113	4655	15762
114	4692	15708
115	4729	15655
116	4765	15600
117	4801	15545
118	4838	15492
119	4875	15438
120	4912	15387
121	4949	15335
122	4986	15283
123	5024	15234
124	5062	15187
125	5104	15151
126	5140	15098
127	5176	15042
128	5213	14994
129	5255	14956
130	5291	14906
131	5327	14853
132	5364	14802
133	5402	14755
134	5438	14704
135	5475	14655
136	5513	14609
137	5550	14559
138	5589	14516
139	5625	14465
140	5661	14415
141	5698	14365
142	5735	14318
143	5772	14270
144	5808	14221
145	5844	14171
146	5880	14121
147	5916	14072
148	5953	14024
149	6008	14020
150	6047	13977
151	6087	13937
152	6129	13900
153	6164	13850
154	6200	13802
155	6237	13754
156	6273	13705
157	6308	13655
158	6345	13608
159	6381	13561
160	6421	13521
161	6475	13511
162	6513	13466
163	6551	13421
164	6586	13373
165	6622	13325
166	6659	13278
167	6696	13233
168	6732	13186
169	6769	13140
170	6806	13094
171	6842	13048
172	6878	13001
173	6932	12988
174	6992	12985
175	7029	12941
176	7066	12896
177	7109	12861
178	7146	12815
179	7182	12769
180	7219	12724
181	7256	12678
182	7292	12632
183	7329	12587
184	7365	12542
185	7402	12496
186	7438	12451
187	7475	12406
188	7512	12361
189	7548	12316
190	7585	12271
191	7623	12229
192	7660	12185
193	7697	12141
194	7734	12097
195	7771	12053
196	7807	12008
197	7843	11963
198	7879	11918
199	7916	11874
200	7952	11830
201	7989	11786
202	8026	11742
203	8062	11698
204	8106	11665
205	8144	11623
206	8181	11580
207	8218	11537
208	8254	11493
209	8291	11449
210	8328	11407
211	8364	11363
212	8400	11319
213	8441	11281
214	8495	11262
215	8532	11218
216	8570	11177
217	8606	11133
218	8642	11089
219	8679	11046
220	8715	11002
221	8751	10959
222	8787	10915
223	8824	10872
224	8860	10829
225	8896	10786
226	8933	10743
227	8969	10700
228	9005	10656
229	9041	10614
230	9078	10571
231	9122	10538
232	9159	10495
233	9197	10454
234	9260	10442
235	9299	10402
236	9337	10361
237	9374	10319
238	9410	10277
239	9447	10234
240	9499	10209
241	9536	10167
242	9572	10123
243	9610	10083
244	9650	10044
245	9713	10029
246	9749	9986
247	9787	9945
248	9823	9901
249	9860	9860
250	9897	9818
251	9934	9776
252	9970	9734
253	10006	9691
254	10042	9648
255	10078	9606
256	10120	9569
257	10157	9527
258	10193	9484
259	10229	9442
260	10266	9400
261	10302	9358
262	10340	9318
263	10376	9276
264	10413	9234
265	10449	9192
266	10498	9161
267	10544	9128
268	10580	9086
269	10616	9044
270	10653	9002
271	10690	8961
272	10727	8919
273	10762	8877
274	10799	8835
275	10838	8796
276	10875	8755
277	10911	8713
278	10947	8671
279	10992	8637
280	11044	8607
281	11080	8566
282	11122	8528
283	11158	8487
284	11196	8446
285	11234	8406
286	11270	8364
287	11308	8324
288	11346	8284
289	11383	8242
290	11420	8202
291	11457	8161
292	11493	8120
293	11529	8078
